"","X","WardName","distance","meanEVI","val_housing_15","settlement_type","tpr_u5_new"
"1",1,"Apado",3094.82568807339,0.352748914675884,0.065536767244339,1,0.389417360285375
"2",2,"Marafa/Pepele",2328.61176470588,0.347884353600881,0.0596539992839098,1,0.57010249468188
"3",3,"Agbeyangi/Gbadamu",2635.08571428571,0.343836296328477,0.0923641318721431,1,0.420457401357125
"4",4,"Oke Oyi/Oke-Ose/Alalubosa",5856.90625,0.334714267666292,0.173342026770115,1,0.453202383950306
"5",5,"Maya/Ileapa",2376.55555555556,0.331897118646238,0.161283222337564,0.928571428571429,0.25512104283054
"6",6,"Gambari 2",1414,0.108106771173577,0.5056032538414,1,0.360677864427115
"7",7,"Are 2",1373.16666666667,0.212694437863926,0.599711060523987,0.315789473684211,0.271046400322434
"8",8,"Are 1",2279.6,0.0944763194873101,NA,0.941176470588235,0.292796733741616
"9",9,"Zango 1",1000,0.145510826259851,0.570854812860489,0.944444444444444,0.357134509758093
"10",10,"Gambari 1",1662.5,0.0955957398594667,0.570854812860489,0.923076923076923,0.45224541429475
"11",11,"Ibagun",1311.66666666667,0.239901650365856,0.5056032538414,1,0.387391461649783
"12",12,"Iponrin",2604.53947368421,0.343151406546434,0.0854115076363087,1,0.463228035538006
"13",13,"Balogun Fulani 3",0,0.130783261110385,0.636106371879578,0.647058823529412,1
"14",14,"Akanbi 2",1849.5,0.367874576151371,0.0976527482271194,1,0.201475464613639
"15",15,"Akanbi 4",1987.65853658537,0.304739577718443,0.440455488860607,0.36734693877551,0.306835290575128
"16",16,"Akanbi 5",1262.77173913043,0.279988156395384,0.449782639741898,0.696428571428571,0.640521860681836
"17",17,"Akanbi 1",2897.60674157303,0.362595994388231,0.133287236094475,1,0.147829886396738
"18",18,"Akanbi 3",3920.26086956522,0.212567375594939,0.555484533309937,0.575,0.14868804664723
"19",19,"Okaka 2",1000,0.0964514026418328,0.636106371879578,1,1
"20",20,"Balogun Fulani 2",500,0.108749679600199,0.636106371879578,1,0.0826542491268917
"21",21,"Okaka 1",500,0.149211226108794,0.636106371879578,0.85,0.169686985172982
"22",22,"Balogun Fulani 1",1000,0.0867160980900129,0.570854812860489,1,1
"23",23,"Oka-Ogun",1200,0.104632014160355,0.636106371879578,1,0.176056338028169
"24",24,"Oloje",3339.27272727273,0.25473295736851,NA,0.666666666666667,0.856042368801155
"25",25,"Oko-Erin",1661.42857142857,0.21091272766214,0.636106371879578,0.866666666666667,0.332316307117987
"26",26,"Adewole",4194.07692307692,0.218248313706782,0.491539746522903,0.638297872340426,0.556533798139925
"27",27,"Ubandawaki",3614.08333333333,0.251306077258454,NA,0.684210526315789,0.567417395169655
"28",28,"M/Ngeri",3642.5,0.219649655433993,NA,0.535714285714286,0.573611519247723
"29",29,"Wara/Osin/Egbejila",3312.00970873786,0.277037070896954,0.507776071627935,0.8,0.513005232425874
"30",30,"Alanamu",3000,0.103144526171188,NA,1,0.512550161303014
"31",31,"Ogidi",4472,0.148078481356303,NA,0.933333333333333,0.651778955336866
"32",32,"Ajikobi",4123,0.0892709804077943,NA,0.9,1
"33",33,"Oju-Ekun",3001,0.104265603443815,NA,0.9,0.430416745238544
"34",34,"Badari",1746.33333333333,0.140666605645998,NA,0.92,0.452713861059121
"35",35,"Baboko",2414,0.11495047993958,NA,1,0.52529601722282
